City,Year,Population,Murder,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny Theft,Motor Vehicle Theft ,Arson,Law Enforcement Officials
Campbell,1995,37501,0,18,50,89,294,1278,177,32,59
Campbell,1996,37844,0,10,39,81,197,1098,101,19,58
Campbell,1997,38306,0,14,24,138,198,1039,116,6,65
Campbell,1998,39372,0,9,17,162,175,1053,85,11,63
Campbell,1999,39185,3,16,20,161,108,819,87,8,63
Campbell,2000,39052,0,8,20,68,127,745,56,9,64
Campbell,2001,38847,0,12,22,62,160,833,97,7,60
Campbell,2002,39540,0,19,20,40,208,783,106,15,65
Campbell,2003,37867,0,9,26,25,166,783,81,25,66
Campbell,2004,37578,1,7,19,39,247,901,105,18,62
Campbell,2005,37259,0,5,13,53,225,872,120,17,66
Campbell,2006,37376,0,7,24,46,243,829,166,17,64
Campbell,2007,37429,1,8,30,62,232,1058,224,23,64
Campbell,2008,37649,0,7,32,49,208,1035,134,24,66
Campbell,2009,38584,0,13,25,78,248,1038,139,14,63
Campbell,2010,38854,0,10,32,41,319,1017,115,18,62
Campbell,2011,39812,0,11,36,49,307,920,151,7,62
