City,Year,Population,Murder,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny Theft,Motor Vehicle Theft ,Arson,Law Enforcement Officials
Gilroy,1995,33789,2,10,56,386,405,1332,178,50,89
Gilroy,1996,34098,1,9,98,342,382,1214,144,39,87
Gilroy,1997,34515,3,13,48,324,376,1249,147,47,93
Gilroy,1998,35276,3,9,67,308,336,1221,131,12,93
Gilroy,1999,38284,0,7,55,282,225,1060,110,6,99
Gilroy,2000,39313,6,18,36,244,261,1000,111,13,97
Gilroy,2001,42235,3,16,52,237,224,1049,131,4,103
Gilroy,2002,42987,0,26,69,219,185,1083,172,2,95
Gilroy,2003,43598,1,14,48,212,224,1183,180,4,105
Gilroy,2004,44322,0,21,44,116,195,1188,178,11,99
Gilroy,2005,44651,0,13,67,123,246,1309,180,13,98
Gilroy,2006,46130,1,12,67,153,273,1485,303,37,99
Gilroy,2007,49343,1,12,74,164,289,1431,296,0,98
Gilroy,2008,50136,3,13,86,135,258,1113,190,24,96
Gilroy,2009,50946,1,4,59,113,280,1097,185,8,85
Gilroy,2010,51108,1,14,78,112,237,1126,192,21,86
Gilroy,2011,49395,1,8,65,130,207,1006,169,7,85
