City,Year,Population,Murder,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny Theft,Motor Vehicle Theft ,Arson,Law Enforcement Officials
Los Altos,1995,28346,0,3,18,30,114,302,9,0,45
Los Altos,1996,28605,0,3,14,27,120,350,9,0,42
Los Altos,1997,28953,0,2,14,64,117,308,12,2,44
Los Altos,1998,28419,0,1,11,49,89,233,13,12,43
Los Altos,1999,28336,0,0,10,38,78,231,12,0,47
Los Altos,2000,28353,0,0,6,17,104,189,13,8,35
Los Altos,2001,28208,0,0,7,22,102,190,2,3,44
Los Altos,2002,28711,0,1,10,10,74,164,6,2,45
Los Altos,2003,27601,0,1,4,12,82,183,11,3,46
Los Altos,2004,27486,0,3,3,4,95,173,16,4,45
Los Altos,2005,27171,0,2,4,4,130,181,14,2,46
Los Altos,2006,27340,0,0,2,2,172,230,19,3,44
Los Altos,2007,27451,0,3,8,7,147,138,8,1,46
Los Altos,2008,27989,0,2,8,3,136,224,10,3,45
Los Altos,2009,28380,0,0,5,1,108,194,13,2,45
Los Altos,2010,28652,0,4,3,1,67,163,3,6,47
Los Altos,2011,29317,0,2,2,2,55,203,11,2,47
