City,Year,Population,Murder,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny Theft,Motor Vehicle Theft ,Arson,Law Enforcement Officials
Los Gatos,1995,29375,1,5,17,44,170,585,38,14,61
Los Gatos,1996,29643,0,2,11,40,188,555,37,10,62
Los Gatos,1997,30005,1,2,11,39,196,983,49,8,39
Los Gatos,1998,29598,0,5,14,42,147,461,42,7,59
Los Gatos,1999,29549,0,0,9,46,169,463,37,9,61
Los Gatos,2000,29676,0,1,9,45,146,456,28,14,61
Los Gatos,2001,29123,0,3,4,44,116,413,30,6,74
Los Gatos,2002,29642,0,2,8,34,148,382,31,13,65
Los Gatos,2003,28505,1,3,12,20,118,368,41,11,65
Los Gatos,2004,28299,1,5,2,24,114,417,40,20,59
Los Gatos,2005,28115,0,5,15,17,145,393,42,10,59
Los Gatos,2006,28281,0,3,12,20,145,379,33,14,57
Los Gatos,2007,28320,0,4,14,17,130,456,39,29,61
Los Gatos,2008,29233,1,5,9,17,108,501,51,19,63
Los Gatos,2009,29388,0,1,9,18,107,467,48,6,61
Los Gatos,2010,29558,0,8,10,16,114,434,28,12,61
Los Gatos,2011,29759,0,4,17,21,122,464,41,7,59
