City,Year,Population,Murder,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny Theft,Motor Vehicle Theft ,Arson,Law Enforcement Officials
Milpitas,1995,56208,2,22,63,92,377,1657,253,1,108
Milpitas,1996,56722,2,23,66,139,350,1606,254,2,113
Milpitas,1997,57415,2,10,55,127,373,1539,259,1,118
Milpitas,1998,60126,0,16,65,167,330,1498,140,4,114
Milpitas,1999,61628,1,23,36,173,328,1515,174,3,109
Milpitas,2000,62751,1,19,64,164,304,1307,188,5,118
Milpitas,2001,63863,0,9,55,149,325,1452,164,4,115
Milpitas,2002,65001,0,16,38,145,280,1558,192,6,120
Milpitas,2003,64368,3,23,38,136,301,1663,239,3,122
Milpitas,2004,63809,0,21,35,139,322,1625,299,8,118
Milpitas,2005,63114,2,17,36,140,315,1575,278,16,115
Milpitas,2006,63954,0,15,52,115,334,1523,286,15,111
Milpitas,2007,64498,1,10,60,108,291,1539,274,11,113
Milpitas,2008,67282,0,10,66,73,228,1592,252,22,110
Milpitas,2009,68047,2,6,59,65,274,1561,215,19,109
Milpitas,2010,68371,0,9,53,29,264,1461,256,15,106
Milpitas,2011,67575,2,10,59,31,299,1315,210,12,105
