City,Year,Population,Murder,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny Theft,Motor Vehicle Theft ,Arson,Law Enforcement Officials
Morgan Hill,1995,26902,0,5,32,49,335,871,69,6,39
Morgan Hill,1996,27148,0,9,14,27,225,839,65,26,43
Morgan Hill,1997,27480,1,5,18,24,199,983,49,8,39
Morgan Hill,1998,29488,1,11,19,44,172,993,83,0,42
Morgan Hill,1999,31180,0,9,20,26,131,775,81,8,40
Morgan Hill,2000,32602,0,6,16,35,151,783,68,7,45
Morgan Hill,2001,34180,0,13,22,41,128,621,52,14,46
Morgan Hill,2002,34789,1,8,18,49,178,705,76,26,48
Morgan Hill,2003,34146,0,7,18,38,198,806,98,14,50
Morgan Hill,2004,34522,0,8,19,23,180,685,84,30,46
Morgan Hill,2005,35117,1,11,16,32,244,728,86,21,52
Morgan Hill,2006,35166,0,5,10,45,170,704,114,31,49
Morgan Hill,2007,36415,0,14,23,47,165,632,90,0,52
Morgan Hill,2008,38051,0,7,21,53,165,506,93,25,56
Morgan Hill,2009,38568,1,13,25,50,141,427,71,15,54
Morgan Hill,2010,38986,0,9,9,36,146,430,66,16,53
Morgan Hill,2011,38327,1,8,16,17,138,470,82,13,50
