City,Year,Population,Murder,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny Theft,Motor Vehicle Theft ,Arson,Law Enforcement Officials
San Jose,1995,822845,38,387,1209,5015,5477,19745,4225,539,1664
San Jose,1996,830374,40,341,1098,4596,4700,19793,3719,655,1706
San Jose,1997,840529,43,375,908,4865,4381,18023,3935,114,1768
San Jose,1998,860211,29,357,901,3868,4129,17925,3173,329,1755
San Jose,1999,875840,25,347,726,3990,2685,15151,2860,497,1802
San Jose,2000,888632,19,337,677,3895,2670,12595,2615,349,1778
San Jose,2001,913513,22,329,712,4501,2939,13567,3093,388,1813
San Jose,2002,927821,26,379,827,2902,3026,13642,3337,258,1819
San Jose,2003,909890,29,279,815,2255,3314,13770,3664,208,1792
San Jose,2004,908712,24,256,785,2314,3616,14165,4517,248,1721
San Jose,2005,910528,26,263,884,2319,4049,13374,5507,388,1715
San Jose,2006,920548,29,217,1030,2285,4423,12678,7139,437,1749
San Jose,2007,934553,33,217,1068,2441,4449,13200,6413,339,1784
San Jose,2008,945197,31,220,1124,2268,3457,13612,5229,288,1754
San Jose,2009,954009,28,258,1025,2128,3741,13635,5379,243,1749
San Jose,2010,970252,20,253,976,1966,3940,12730,5411,181,1624
San Jose,2011,957062,39,226,1101,1840,4223,12628,5121,165,1456
