City,Year,Population,Murder,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny Theft,Motor Vehicle Theft ,Arson,Law Enforcement Officials
San Jose,1995,822845,38,387,1209,5015,5477,19745,4225,539,1664
San Jose,1996,830374,40,341,1098,4596,4700,19793,3719,655,1706
San Jose,1997,840529,43,375,908,4865,4381,18023,3935,114,1768
San Jose,1998,860211,29,357,901,3868,4129,17925,3173,329,1755
San Jose,1999,875840,25,347,726,3990,2685,15151,2860,497,1802
San Jose,2000,888632,19,337,677,3895,2670,12595,2615,349,1778
San Jose,2001,913513,22,329,712,4501,2939,13567,3093,388,1813
San Jose,2002,927821,26,379,827,2902,3026,13642,3337,258,1819
San Jose,2003,909890,29,279,815,2255,3314,13770,3664,208,1792
San Jose,2004,908712,24,256,785,2314,3616,14165,4517,248,1721
San Jose,2005,910528,26,263,884,2319,4049,13374,5507,388,1715
San Jose,2006,920548,29,217,1030,2285,4423,12678,7139,437,1749
San Jose,2007,934553,33,217,1068,2441,4449,13200,6413,339,1784
San Jose,2008,945197,31,220,1124,2268,3457,13612,5229,288,1754
San Jose,2009,954009,28,258,1025,2128,3741,13635,5379,243,1749
San Jose,2010,970252,20,253,976,1966,3940,12730,5411,181,1624
San Jose,2011,957062,39,226,1101,1840,4223,12628,5121,165,1456
Campbell,1995,"37,501",0,18,50,89,294,"1,278",177,32,59
Campbell,1996,37844,0,10,39,81,197,1098,101,19,58
Campbell,1997,,,,,,,,,,
Campbell,1998,,,,,,,,,,
Campbell,1999,,,,,,,,,,
Campbell,2000,"39,052",0,8,20,68,127,745,56,9,64
Campbell,2001,"38,847",0,12,22,62,160,833,97,7,60
Campbell,2002,"39,540",0,19,20,40,208,783,106,15,
Campbell,"2,003","37,867",0,9,26,25,166,783,81,25,66
Campbell,2004,"37,578",1,7,19,39,247,901,105,18,62
Campbell,2005,"37,259",0,5,13,53,225,872,120,17,66
Campbell,2006,"37,376",0,7,24,46,243,829,166,17,64
Campbell,2007,"37,429",1,8,30,62,232,"1,058",224,23,64
Campbell,2008,"37,649",0,7,32,49,208,"1,035",134,24,66
Campbell,2009,"38,584",0,13,25,78,248,"1,038",139,14,63
Campbell,"2,010","38,854",0,10,32,41,319,"1,017",115,18,62
Campbell,2011,"39,812",0,11,36,49,307,920,151,7,62
Gilroy,1995,"33,789",2,10,56,386,405,1332,178,50,89
Gilroy,1996,34098,1,9,98,342,382,1214,144,39,87
Gilroy,1997,,,,,,,,,,
Gilroy,1998,,,,,,,,,,
Gilroy,1999,,,,,,,,,,
Gilroy,2000,"39,313",6,18,36,244,261,"1,000",111,13,97
Gilroy,2001,"42,235",3,16,52,237,224,"1,049",131,4,103
Gilroy,2002,"42,987",0,26,69,219,185,"1,083",172,2,95
Gilroy,"2,003","43,598",1,14,48,212,224,"1,183",180,4,105
Gilroy,2004,"44,322",0,21,44,116,195,"1,188",178,11,99
Gilroy,2005,"44,651",0,13,67,123,246,"1,309",180,13,98
Gilroy,2006,"46,130",1,12,67,153,273,"1,485",303,37,99
Gilroy,2007,"49,343",1,12,74,164,289,"1,431",296,0,98
Gilroy,2008,"50,136",3,13,86,135,258,"1,113",190,24,96
Gilroy,2009,"50,946",1,4,59,113,280,"1,097",185,8,85
Gilroy,"2,010","51,108",1,14,78,112,237,"1,126",192,21,86
Gilroy,2011,"49,395",1,8,65,130,207,"1,006",169,7,85
Los Altos,1995,"28,346",0,3,18,30,114,302,9,0,45
Los Altos,1996,28605,0,3,14,27,120,350,9,0,42
Los Altos,1997,,,,,,,,,,
Los Altos,1998,,,,,,,,,,
Los Altos,1999,,,,,,,,,,
Los Altos,2000,"28,353",0,0,6,17,104,189,13,8,35
Los Altos,2001,"28,208",0,0,7,22,102,190,2,3,44
Los Altos,2002,"28,711",0,1,10,10,74,164,6,2,45
Los Altos,"2,003","27,601",0,1,4,12,82,183,11,3,46
Los Altos,2004,"27,486",0,3,3,4,95,173,16,4,45
Los Altos,2005,"27,171",0,2,4,4,130,181,14,2,46
Los Altos,2006,"27,340",0,0,2,2,172,230,19,3,44
Los Altos,2007,"27,451",0,3,8,7,147,138,8,1,46
Los Altos,2008,"27,989",0,2,8,3,136,224,10,3,45
Los Altos,2009,"28,380",0,0,5,1,108,194,13,2,45
Los Altos,"2,010","28,652",0,4,3,1,67,163,3,6,47
Los Altos,2011,"29,317",0,2,2,2,55,203,11,2,47
Los Gatos,1995,"29,375",1,5,17,44,170,585,38,14,61
Los Gatos,1996,29643,0,2,11,40,188,555,37,10,62
Los Gatos,1997,,,,,,,,,,
Los Gatos,1998,,,,,,,,,,
Los Gatos,1999,,,,,,,,,,
Los Gatos,2000,"29,676",0,1,9,45,146,456,28,14,61
Los Gatos,2001,"29,123",0,3,4,44,116,413,30,6,74
Los Gatos,2002,"29,642",0,2,8,34,148,382,31,13,65
Los Gatos,"2,003","28,505",1,3,12,20,118,368,41,11,65
Los Gatos,2004,"28,299",1,5,2,24,114,417,40,20,59
Los Gatos,2005,"28,115",0,5,15,17,145,393,42,10,59
Los Gatos,2006,"28,281",0,3,12,20,145,379,33,14,57
Los Gatos,2007,"28,320",0,4,14,17,130,456,39,29,61
Los Gatos,2008,"29,233",1,5,9,17,108,501,51,19,63
Los Gatos,2009,"29,388",0,1,9,18,107,467,48,6,61
Los Gatos,"2,010","29,558",0,8,10,16,114,434,28,12,61
Los Gatos,2011,"29,759",0,4,17,21,122,464,41,7,59
Milpitas,1995,56208,2,22,63,92,377,"1,657",253,1,
Milpitas,1996,56722,2,23,66,139,350,1606,254,2,
Milpitas,1997,,,,,,,,,,
Milpitas,1998,,,,,,,,,,
Milpitas,1999,,,,,,,,,,
Milpitas,2000,"62,751",1,19,64,164,304,"1,307",188,5,118
Milpitas,2001,"63,863",0,9,55,149,325,"1,452",164,4,115
Milpitas,2002,"65,001",0,16,38,145,280,"1,558",192,6,120
Milpitas,"2,003","64,368",3,23,38,136,301,"1,663",239,3,122
Milpitas,2004,"63,809",0,21,35,139,322,"1,625",299,8,118
Milpitas,2005,"63,114",2,17,36,140,315,"1,575",278,16,115
Milpitas,2006,"63,954",0,15,52,115,334,"1,523",286,15,111
Milpitas,2007,"64,498",1,10,60,108,291,"1,539",274,11,113
Milpitas,2008,"67,282",0,10,66,73,228,"1,592",252,22,110
Milpitas,2009,"68,047",2,6,59,65,274,"1,561",215,19,109
Milpitas,"2,010","68,371",0,9,53,29,264,"1,461",256,15,106
Milpitas,2011,"67,575",2,10,59,31,299,"1,315",210,12,105
Morgan Hill,1995,26902,0,5,32,49,335,871,69,6,39
Morgan Hill,1996,27148,0,9,14,27,225,839,65,26,43
Morgan Hill,1997,,,,,,,,,,
Morgan Hill,1998,,,,,,,,,,
Morgan Hill,1999,,,,,,,,,,
Morgan Hill,2000,"32,602",0,6,16,35,151,783,68,7,45
Morgan Hill,2001,"34,180",0,13,22,41,128,621,52,14,46
Morgan Hill,2002,"34,789",1,8,18,49,178,705,76,26,48
Morgan Hill,"2,003","34,146",0,7,18,38,198,806,98,14,50
Morgan Hill,2004,"34,522",0,8,19,23,180,685,84,30,46
Morgan Hill,2005,"35,117",1,11,16,32,244,728,86,21,52
Morgan Hill,2006,"35,166",0,5,10,45,170,704,114,31,49
Morgan Hill,2007,"36,415",0,14,23,47,165,632,90,0,52
Morgan Hill,2008,"38,051",0,7,21,53,165,506,93,25,56
Morgan Hill,2009,"38,568",1,13,25,50,141,427,71,15,54
Morgan Hill,"2,010","38,986",0,9,9,36,146,430,66,16,53
Morgan Hill,2011,"38,327",1,8,16,17,138,470,82,13,50
Mountain View,1995,66143,1,7,125,233,324,2052,203,12,116
Mountain View,1996,66748,0,13,102,306,326,2174,192,26,118
Mountain View,1997,,,,,,,,,,
Mountain View,1998,,,,,,,,,,
Mountain View,1999,,,,,,,,,,
Mountain View,2000,"73,037",2,9,43,307,227,"1,569",158,22,122
Mountain View,2001,"72,022",1,5,46,350,252,"1,642",142,11,133
Mountain View,2002,"73,305",1,5,66,256,221,"1,448",115,8,130
Mountain View,"2,003","70,781",1,6,42,242,209,"1,489",139,11,144,
Mountain View,2004,"70,166",1,13,54,195,229,"1,542",202,10,141,
Mountain View,2005,"69,469",1,5,63,233,253,"1,660",263,8,145,
Mountain View,2006,"69,900",0,10,71,219,271,"1,648",325,19,138,
Mountain View,2007,"69,999",1,8,56,173,157,"1,224",138,12,145,
Mountain View,2008,"70,401",6,7,55,221,233,"1,444",143,7,146,
Mountain View,2009,"71,423",0,14,47,119,253,"1,554",165,3,142,
Mountain View,"2,010","72,321",1,4,46,117,177,"1,179",102,7,137,
Mountain View,2011,"74,937",0,7,41,105,167,"1,086",100,3,137,
Palo Alto,1995,57211,0,13,57,41,504,2390,151,27,164,
Palo Alto,1996,57734,1,6,65,66,346,2668,151,19,167,
Palo Alto,1997,,,,,,,,,,,
Palo Alto,1998,,,,,,,,,,,
Palo Alto,1999,,,,,,,,,,,
Palo Alto,2000,"60,133",1,6,46,40,223,"1,503",86,10,163,
