City,Year,Population,propertyCrime,Law Enforcement Officials,UnemploymentRate,OfficialsRate,CrimeRate,Robbery,Aggravated Assault,Burglary,Larceny Theft,Motor Vehicle Theft ,Arson,Law Enforcement Officials,OfficialsRate
San Jose,2000,888632,18894,1778,3.5,0.2,2.61,677,3895,2670,12595,2615,349,1778,0.2
San Jose,2001,913513,20640,1813,5.7,0.2,2.8,712,4501,2939,13567,3093,388,1813,0.2
San Jose,2002,927821,21211,1819,9.3,0.2,2.63,827,2902,3026,13642,3337,258,1819,0.2
San Jose,2003,909890,21842,1792,9.3,0.2,2.67,815,2255,3314,13770,3664,208,1792,0.2
San Jose,2004,908712,23339,1721,7.2,0.19,2.85,785,2314,3616,14165,4517,248,1721,0.19
San Jose,2005,910528,24077,1715,6,0.19,2.94,884,2319,4049,13374,5507,388,1715,0.19
San Jose,2006,920548,25487,1749,5,0.19,3.07,1030,2285,4423,12678,7139,437,1749,0.19
San Jose,2007,934553,25347,1784,5.2,0.19,3.01,1068,2441,4449,13200,6413,339,1784,0.19
San Jose,2008,945197,23642,1754,6.7,0.19,2.77,1124,2268,3457,13612,5229,288,1754,0.19
San Jose,2009,954009,24038,1749,12,0.18,2.77,1025,2128,3741,13635,5379,243,1749,0.18
San Jose,2010,970252,23310,1624,12.2,0.17,2.63,976,1966,3940,12730,5411,181,1624,0.17
San Jose,2011,957062,23299,1456,10.09,0.15,2.65,1101,1840,4223,12628,5121,165,1456,0.15
Campbell,2000,39052,956,64,2.6,0.16,2.65,20,68,127,745,56,9,64,0.16
Campbell,2001,38847,1124,60,4.3,0.15,3.07,22,62,160,833,97,7,60,0.15
Campbell,2002,39540,1136,65,7.2,0.16,3.01,20,40,208,783,106,15,65,0.16
Campbell,2003,37867,1065,66,7.2,0.17,2.94,26,25,166,783,81,25,66,0.17
Campbell,2004,37578,1279,62,5.5,0.17,3.56,19,39,247,901,105,18,62,0.17
Campbell,2005,37259,1235,66,4.6,0.18,3.5,13,53,225,872,120,17,66,0.18
Campbell,2006,37376,1269,64,3.8,0.17,3.56,24,46,243,829,166,17,64,0.17
Campbell,2007,37429,1552,64,4,0.17,4.38,30,62,232,1058,224,23,64,0.17
Campbell,2008,37649,1416,66,5.1,0.18,3.95,32,49,208,1035,134,24,66,0.18
Campbell,2009,38584,1463,63,9.3,0.16,4.03,25,78,248,1038,139,14,63,0.16
Campbell,2010,38854,1493,62,9.5,0.16,3.99,32,41,319,1017,115,18,62,0.16
Campbell,2011,39812,1425,62,8.4,0.16,3.72,36,49,307,920,151,7,62,0.16
Gilroy,2000,39313,1426,97,4.8,0.25,4.3,36,244,261,1000,111,13,97,0.25
Gilroy,2001,42235,1472,103,7.8,0.24,4.06,52,237,224,1049,131,4,103,0.24
Gilroy,2002,42987,1535,95,12.6,0.22,4.08,69,219,185,1083,172,2,95,0.22
