City,Year,Population,Murder,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny Theft,Motor Vehicle Theft ,Arson,Law Enforcement Officials
Sunnyvale,1995,120185,3,29,110,112,459,2714,350,11,171
Sunnyvale,1996,121284,0,29,80,122,420,2522,315,18,186
Sunnyvale,1997,122767,0,26,74,114,461,2261,268,24,326
Sunnyvale,1998,128359,2,25,61,104,409,2133,266,27,296
Sunnyvale,1999,129311,1,25,46,128,304,1944,207,18,318
Sunnyvale,2000,130115,1,17,43,130,308,1952,187,25,308
Sunnyvale,2001,134209,0,18,59,103,289,1995,234,17,300
Sunnyvale,2002,136601,2,24,70,96,322,1837,218,30,308
Sunnyvale,2003,131048,2,26,65,79,372,2269,243,24,297
Sunnyvale,2004,130032,2,19,52,88,395,2102,346,16,283
Sunnyvale,2005,128862,3,27,73,129,495,1794,372,16,285
Sunnyvale,2006,130063,1,21,81,81,524,1699,409,23,290
Sunnyvale,2007,130326,2,15,62,75,372,1896,361,16,287
Sunnyvale,2008,131052,2,17,65,100,350,1894,346,33,289
Sunnyvale,2009,132144,1,11,71,86,431,2026,312,21,284
Sunnyvale,2010,134073,0,26,59,84,407,1574,246,51,286
Sunnyvale,2011,141728,3,21,68,58,393,1351,226,14,274
