City,Year,Population,Unemployment,UnemploymentRate,propertyCrime,Murder,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny Theft,Motor Vehicle Theft ,Arson,Law Enforcement Officials,OfficialsRate,CrimeRate
San Jose,2000,888632,31102.12,3.5,18894,19,337,677,3895,2670,12595,2615,349,1778,0.2,2.61
San Jose,2001,913513,52070.241,5.7,20640,22,329,712,4501,2939,13567,3093,388,1813,0.2,2.8
San Jose,2002,927821,86287.353,9.3,21211,26,379,827,2902,3026,13642,3337,258,1819,0.2,2.63
San Jose,2003,909890,84619.77,9.3,21842,29,279,815,2255,3314,13770,3664,208,1792,0.2,2.67
San Jose,2004,908712,65427.264,7.2,23339,24,256,785,2314,3616,14165,4517,248,1721,0.19,2.85
San Jose,2005,910528,54631.68,6,24077,26,263,884,2319,4049,13374,5507,388,1715,0.19,2.94
San Jose,2006,920548,46027.4,5,25487,29,217,1030,2285,4423,12678,7139,437,1749,0.19,3.07
San Jose,2007,934553,48596.756,5.2,25347,33,217,1068,2441,4449,13200,6413,339,1784,0.19,3.01
San Jose,2008,945197,63328.199,6.7,23642,31,220,1124,2268,3457,13612,5229,288,1754,0.19,2.77
San Jose,2009,954009,114481.08,12,24038,28,258,1025,2128,3741,13635,5379,243,1749,0.18,2.77
San Jose,2010,970252,118370.744,12.2,23310,20,253,976,1966,3940,12730,5411,181,1624,0.17,2.63
San Jose,2011,957062,96567.5558,10.09,23299,39,226,1101,1840,4223,12628,5121,165,1456,0.15,2.65
Campbell,2000,39052,1015.352,2.6,956,0,8,20,68,127,745,56,9,64,0.16,2.65
Campbell,2001,38847,1670.421,4.3,1124,0,12,22,62,160,833,97,7,60,0.15,3.07
Campbell,2002,39540,2846.88,7.2,1136,0,19,20,40,208,783,106,15,65,0.16,3.01
Campbell,2003,37867,2726.424,7.2,1065,0,9,26,25,166,783,81,25,66,0.17,2.94
Campbell,2004,37578,2066.79,5.5,1279,1,7,19,39,247,901,105,18,62,0.17,3.56
Campbell,2005,37259,1713.914,4.6,1235,0,5,13,53,225,872,120,17,66,0.18,3.5
Campbell,2006,37376,1420.288,3.8,1269,0,7,24,46,243,829,166,17,64,0.17,3.56
Campbell,2007,37429,1497.16,4,1552,1,8,30,62,232,1058,224,23,64,0.17,4.38
Campbell,2008,37649,1920.099,5.1,1416,0,7,32,49,208,1035,134,24,66,0.18,3.95
Campbell,2009,38584,3588.312,9.3,1463,0,13,25,78,248,1038,139,14,63,0.16,4.03
Campbell,2010,38854,3691.13,9.5,1493,0,10,32,41,319,1017,115,18,62,0.16,3.99
Campbell,2011,39812,3344.208,8.4,1425,0,11,36,49,307,920,151,7,62,0.16,3.72
Gilroy,2000,39313,1887.024,4.8,1426,6,18,36,244,261,1000,111,13,97,0.25,4.3
Gilroy,2001,42235,3294.33,7.8,1472,3,16,52,237,224,1049,131,4,103,0.24,4.06
Gilroy,2002,42987,5416.362,12.6,1535,0,26,69,219,185,1083,172,2,95,0.22,4.08
Gilroy,2003,43598,5493.348,12.6,1649,1,14,48,212,224,1183,180,4,105,0.24,4.28
Gilroy,2004,44322,4343.556,9.8,1626,0,21,44,116,195,1188,178,11,99,0.22,3.96
Gilroy,2005,44651,3661.382,8.2,1815,0,13,67,123,246,1309,180,13,98,0.22,4.37
Gilroy,2006,46130,3182.97,6.9,2140,1,12,67,153,273,1485,303,37,99,0.21,5.05
Gilroy,2007,49343,3552.696,7.2,2102,1,12,74,164,289,1431,296,0,98,0.2,4.59
Gilroy,2008,50136,4562.376,9.1,1660,3,13,86,135,258,1113,190,24,96,0.19,3.63
Gilroy,2009,50946,8202.306,16.1,1625,1,4,59,113,280,1097,185,8,85,0.17,3.43
Gilroy,2010,51108,8330.604,16.3,1647,1,14,78,112,237,1126,192,21,86,0.17,3.48
Gilroy,2011,49395,7211.67,14.6,1455,1,8,65,130,207,1006,169,7,85,0.17,3.23
Los Altos,2000,28353,425.295,1.5,312,0,0,6,17,104,189,13,8,35,0.12,1.19
Los Altos,2001,28208,705.2,2.5,301,0,0,7,22,102,190,2,3,44,0.16,1.16
Los Altos,2002,28711,1205.862,4.2,255,0,1,10,10,74,164,6,2,45,0.16,0.93
Los Altos,2003,27601,1159.242,4.2,281,0,1,4,12,82,183,11,3,46,0.17,1.07
Los Altos,2004,27486,879.552,3.2,290,0,3,3,4,95,173,16,4,45,0.16,1.08
Los Altos,2005,27171,733.617,2.7,331,0,2,4,4,130,181,14,2,46,0.17,1.24
